D,R,N_R,H_R,C_sigma_inerte
-43,422001,20978,1.888969457418,0.340869452474
-43,422021,11184,1.000601865784,0.343056612417
-43,422041,11197,1.000004738876,0.343645429891
-43,422061,18400,1.673040152964,0.337523036906
-43,422081,11123,1.000000000000,0.341346070671
-43,422101,11007,1.000000000000,0.337771457326
-43,422121,23906,2.143070351866,0.342298881116
-43,422141,11101,1.000000000000,0.340626245320
-43,422161,12471,1.105263157895,0.346204416086
-43,422181,21923,1.950819672131,0.344794944454
-43,422201,11223,1.002894356006,0.343330845077
-43,422221,11093,1.000000000000,0.340321256179
-43,422241,18358,1.668963932920,0.337442277329
-43,422261,14687,1.300079808460,0.346549421716
-43,422281,12099,1.072709878020,0.345979456664
-43,422301,18664,1.684118673647,0.339935224635
-43,422321,11185,1.000004735734,0.343067112187
-43,422341,11057,1.000000000000,0.339127872866
-43,422361,21966,1.963213933105,0.343155172818
-43,422381,11077,1.000000000000,0.339711600133
-43,422401,14539,1.285714285714,0.346784208050
-43,422421,18445,1.666666666667,0.339375260118
-43,422441,11123,1.000000000000,0.341077626948
-43,422461,11174,1.000061544143,0.342605445545
-43,422481,18387,1.666690336370,0.338258959140
-43,422501,12104,1.068965517241,0.347167927503
-43,422521,11573,1.028169014085,0.345093555183
-43,422541,30654,2.684210526316,0.350112015006
-43,422561,378,1.000000000000,0.011588020848
-43,422581,11224,1.000004732820,0.344067857003
-43,422601,18347,1.666690329649,0.337434651016
-43,422621,11102,1.000000000000,0.340299874824
-43,422641,11269,1.007604562738,0.342796875148
-43,422661,18831,1.704119850187,0.338684939017
-43,422681,14499,1.285714285714,0.345618716554
-43,422701,11108,1.000000000000,0.340424321857
-43,422721,20937,1.888888888889,0.339682981794
-43,422741,11148,1.000052041321,0.341602583404
-43,422761,11199,1.000004730805,0.343166604095
-43,422781,18464,1.666666666667,0.339457891722
-43,422801,11306,1.013490980390,0.341805465259
-43,422821,15115,1.326838070957,0.349028731838
-43,422841,18424,1.666666666667,0.338678143772
-43,422861,11162,1.000004729687,0.341958185494
-43,422881,11179,1.000004729463,0.342464049137
-43,422901,22698,2.005166693860,0.346762592024
-43,422921,12467,1.105362467222,0.345488363055
-43,422941,11213,1.006204175050,0.341344518674
-43,422961,23852,2.142857142857,0.340933641060
-43,422981,11177,1.000061468482,0.342308655760
-43,423001,11167,1.000000000000,0.342008493416
-43,423021,19661,1.759191624056,0.342273977231
-43,423041,11268,1.004618937644,0.343485142918
-43,423061,11195,1.000004727451,0.342819547408
-43,423081,22757,2.021648336843,0.344694205881
-43,423101,14491,1.285756828748,0.345100158284
-43,423121,11095,1.000000000000,0.339714437336
-43,423141,18392,1.667777407531,0.337643680933
-43,423161,11131,1.000000000000,0.340786980726
-43,423181,11599,1.027397260274,0.345630465159
-43,423201,18413,1.666690296100,0.338205430316
-43,423221,11142,1.000000000000,0.341079128520
