D,R,N_R,H_R,C_sigma_inerte
-43,48481,1555,1.000041253274,0.346034318627
-43,48501,2955,1.888888888889,0.348012823502
-43,48521,1570,1.000000000000,0.349125339491
-43,48541,1566,1.000041202283,0.348091320072
-43,48561,2589,1.666872593233,0.345133131289
-43,48581,1690,1.054054054054,0.356138210790
-43,48601,2102,1.305343511450,0.357553025787
-43,48621,2899,1.842105263158,0.349304522454
-43,48641,1589,1.005221932115,0.350727904248
-43,48661,1568,1.000041100676,0.347755970772
-43,48681,3188,1.994268811241,0.354420697304
-43,48701,1559,1.000000000000,0.345516439084
-43,48721,1596,1.003407155026,0.352384258034
-43,48741,3444,2.163168584970,0.352591511422
-43,48761,1583,1.000041016386,0.350429384649
-43,48781,1584,1.000040999570,0.350520311094
-43,48801,2577,1.666666666667,0.342042407045
-43,48821,1577,1.000000000000,0.348726147752
-43,48841,1575,1.000000000000,0.348154470829
-43,48861,3193,1.994658316449,0.353720711385
-43,48881,2059,1.285714285714,0.353737164906
-43,48901,1581,1.000000000000,0.349091664605
-43,48921,2601,1.666666666667,0.344459425314
-43,48941,1603,1.004454342984,0.352118398345
-43,48961,1585,1.000449337228,0.349428684580
-43,48981,2826,1.781609195402,0.349722163209
-43,49001,1774,1.106120283260,0.353471029639
-43,49021,2106,1.302972195590,0.356094258034
-43,49041,2982,1.888888888889,0.347682019048
-43,49061,1642,1.031144901245,0.350569213638
-43,49081,1582,1.000040748966,0.348135638545
-43,49101,2595,1.669314270585,0.341978185751
-43,49121,1571,1.000000000000,0.345473582740
-43,49141,1623,1.019210028286,0.350052405317
-43,49161,3413,2.144687862330,0.349695520505
-43,49181,1626,1.007604562738,0.354476946167
-43,49201,1574,1.000000000000,0.345622555721
-43,49221,3131,1.962962962963,0.350112926350
-43,49241,1586,1.000000000000,0.348000817928
-43,49261,1598,1.000040600069,0.350490448798
-43,49281,2589,1.666666666667,0.340596650414
-43,49301,2069,1.286079389870,0.352606144043
-43,49321,67,1.054054054054,0.013926732656
